timestamp,pm1_mean,pm1_err,pm25_mean,pm25_err,pm10_mean,pm10_err
1776898146.6647618,0.0,0.0,0.0,0.0,0.0,0.0
1776898150.653592,0.0,0.0,0.0,0.0,0.0,0.0
1776898156.1729395,0.0,0.0,0.0,0.0,0.0,0.0
1776898160.180942,0.0,0.0,1.0,0.0,1.0,0.0
1776898168.2069705,0.0,0.0,0.5,0.5,0.5,0.5
1776898172.2561584,0.0,0.0,0.0,0.0,0.0,0.0
1776898176.2436945,0.0,0.0,0.0,0.0,0.0,0.0
1776898188.6768456,0.0,0.0,0.0,0.0,0.0,0.0
1776898193.8739867,0.0,0.0,0.0,0.0,0.0,0.0
1776898215.4347234,0.0,0.0,0.0,0.0,1.0,1.0
1776898226.9757674,0.0,0.0,1.0,0.0,2.0,0.0
1776898230.9750254,0.0,0.0,1.0,0.0,2.0,0.0
1776898235.3298655,0.0,0.0,1.0,0.0,1.0,0.0
1776898240.5075343,0.0,0.0,0.0,0.0,0.0,0.0
1776898244.4896407,0.0,0.0,0.0,0.0,0.0,0.0
